,latitude,longitude,depth,d13C,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,predicted_cluster,cluster,cen_x,cen_y,c
37,56.99,-135.48,216,0.94,EW0408-40JC,"Cib.w, wuellerstorfi, CW",,1.317645907,,,,,1,1,2.004168434173913,1.4730074782608695,#81DF20
38,-3.58,-83.93,2673,0.02,V19-29,"Cib spp, cib",,2.6,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
39,-3.38,-83.35,3091,0.03,V19-30,"Cib spp, cib",,2.69,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
40,-2.37,-84.65,2720,0.19,V19-28,"Cib spp, cib",,2.61,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
41,-1.62,159.23,2169,0.25,ERDC-112,"Cib.w, wuellerstorfi, CW",,2.82,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
42,0.68,-108.62,3588,0.42,RC10-65,"Cib spp, cib",,2.64,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
43,41.27,-126.4,2743,0.01,Y69-10-2,"Cib spp, cib",,2.83,,,,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
44,-45.99,-177.99,2830,0.47,Q208,"Cib.w, wuellerstorfi, CW",2.2098,3.1162,"Winn, Kyaw (2013)",811792.txt,S_site_Q208_AR,doi:10.1594/PANGAEA.811792,2,0,2.7160713812868216,0.24484144573643407,#DF2020
45,-36.92,177.43,2045,0.38,H214,"Cib spp, cib",2.8683,2.6067,Catherine R. Samson,h214-tab.txt,S_site_H214,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
46,-32.74,-72.33,2463,-0.3,GIK17747_2,"Cib.w, wuellerstorfi, CW",4.1909,3.2637,"Winn, Kyaw (2013)",815877.txt,S_site_GIK17747_2,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
47,-32.74,-72.33,2464,0.24,GIK17747_1,"Cib.w, wuellerstorfi, CW",1.1491,2.9433,"Winn, Kyaw (2013)",815874.txt,S_site_GIK17747_1,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
48,-27.22,-110.08,3163,0.13,GIK17790_3,"Cib.w, wuellerstorfi, CW",5.6,3.76,"Winn, Kyaw (2013)",816484.txt,S_site_GIK17790_3,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
49,-22.45,-177.33,3125,0.66,SO35_2_101KL,kullenbergi,3.353,2.75,"Winn, K, Erlenkeuser, H (2013)",806664.txt,S_site_SO35_2_101KL_AR,"doi:10.1594/PANGAEA.806664,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
50,-22.4,-177.45,2910,0.51,SO35_2_102KL,"Cib.w, wuellerstorfi, CW",2.66,2.48,"Winn, Kyaw (2013)",806861.txt,S_site_SO35_2_102KL_AR,doi:10.1594/PANGAEA.806861,0,0,2.7160713812868216,0.24484144573643407,#DF2020
51,-18.59,-113.08,3324,0.3,SO26_189KA,"Cib.w, wuellerstorfi, CW",5.058,2.58,"Sarnthein, M, Winn, K (2013)",805129.txt,S_site_SO26_189KA_AR,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
52,-16.02,177.69,3410,0.33,SO35_2_272KL,"Cib.w, wuellerstorfi, CW",5.395,2.525,"Winn, K (2013)",806902.txt,S_site_SO35_2_272KL_AR,"doi:10.1594/PANGAEA.806902,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
53,-14.39,177.14,2890,0.21,SO35_2_211KL,"Cib.w, wuellerstorfi, CW",2.7403,3.6267,"Winn, Kyaw (2013)",806899.txt,S_site_SO35_2_211KL_AR,doi:10.1594/PANGAEA.806899,2,0,2.7160713812868216,0.24484144573643407,#DF2020
54,-10.54,-109.74,3371,0.08,SO12_98,"Cib.w, wuellerstorfi, CW",3.3525,3.2325,"Winn, Kyaw (2012)",802163.txt,S_site_SO12_98_AR,doi:10.1594/PANGAEA.802163,2,0,2.7160713812868216,0.24484144573643407,#DF2020
55,-4.24,-103.91,3327,0.05,SO12_229,"Cib.w, wuellerstorfi, CW",4.605,2.74,"Winn, Kyaw (2012)",802168.txt,S_site_SO12_229_AR,doi:10.1594/PANGAEA.802168,0,0,2.7160713812868216,0.24484144573643407,#DF2020
56,-3.81,-83.98,3210,-0.01,TR163_31,"Cib spp, cib",3.7667,2.8133,"Curry, WB et al. (1988)",052329.txt,S_site_TR163_31,"doi:10.1594/PANGAEA.52329,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
57,-3.53,-85.0,3381,0.16,SO26_131KA,"Cib.w, wuellerstorfi, CW",3.465,2.695,"Sarnthein, M, Winn, K (2013)",805124.txt,S_site_SO26_131KA_AR,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
58,-1.55,-85.39,2463,0.1,SO26_127KA,"Cib.w, wuellerstorfi, CW",2.7069,2.9586,"Sarnthein, M, Winn, K (2012)",804570.txt,S_site_SO26_127KA_AR,"doi:10.1594/PANGAEA.804570,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
59,0.68,-85.84,2706,0.22,SO26_96KA,"Cib.w, wuellerstorfi, CW",2.722,2.686,"Sarnthein, M, Winn, K (2012)",804568.txt,S_site_SO26_96KA_AR,"doi:10.1594/PANGAEA.804568,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
60,2.25,-92.35,2211,0.25,SO26_90KA,"Cib.w, wuellerstorfi, CW",2.4781,2.6344,"Sarnthein, M, Winn, K (1991)",803734.txt,S_site_SO26_90KA_AR,"doi:10.1594/PANGAEA.803734,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
61,2.6,-83.99,3085,0.27,P7,"Cib.w, wuellerstorfi, CW",5.19,3.14,"Winn, Kyaw (2013)",811790.txt,S_site_P7_AR,doi:10.1594/PANGAEA.811790,2,0,2.7160713812868216,0.24484144573643407,#DF2020
62,2.66,-100.25,4027,0.17,SO26_47KA,"Cib.w, wuellerstorfi, CW",2.8667,3.0633,"Sarnthein, M, Winn, K (1988)",803252.txt,S_site_SO26_47KA_AR,"doi:10.1594/PANGAEA.803252,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
63,2.73,-95.19,3200,0.13,SO26_58KA,"Cib.w, wuellerstorfi, CW",3.6733,2.8029,"Sarnthein, M, Winn, K (1991)",803741.txt,S_site_SO26_58KA_AR,"doi:10.1594/PANGAEA.803741,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
64,2.98,-86.55,2870,0.01,Y69_106,"Cib spp, cib",4.455,2.82,Mitchell Lyle,y69-106-tab.txt,S_site_Y69_106_AR,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
65,7.2,112.08,1953,0.041,V35_5,"Cib spp, cib",2.08,2.3597,"Oppo, DW, Fairbanks, RG (1987)",701356.txt,S_site_V35_5,"doi:10.1594/PANGAEA.701356,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
66,9.36,113.29,2772,0.1695,ODP1143,"Cib.w, wuellerstorfi, CW",1.8,2.5045,Jun Tian,odp1143-tab.txt,S_site_ODP1143,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
67,13.12,-103.01,3105,0.29,SO26_12KA,"Cib.w, wuellerstorfi, CW",3.82,2.76,"Sarnthein, M, Winn, K (1988)",803247.txt,S_site_SO26_12KA_AR,"doi:10.1594/PANGAEA.803247,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
68,18.0,111.49,2050,0.07,SCS90_36,"Cib.w, wuellerstorfi, CW",2.8714,2.1943,"Huang, C-Y et al. (1997)",738491.txt,S_site_SCS90_36,"doi:10.1594/PANGAEA.738491,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
69,18.43,115.99,3766,0.32,GIK16520_1,"Cib.w, wuellerstorfi, CW",2.59,2.845,"Winn, K (2013)",807875.txt,S_site_GIK16520_1_AR,"doi:10.1594/PANGAEA.807875,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
70,18.91,115.76,3766,0.24,GIK16527_1,"Cib.w, wuellerstorfi, CW",2.8,2.95,"Winn, K (2013)",807872.txt,S_site_GIK16527_1_AR,"doi:10.1594/PANGAEA.807872,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
71,28.5248,134.1234,2942,0.262,V28_304,"Cib spp, cib",3.3,2.662,"Curry, WB et al. (1988)",052307.txt,S_site_V28_304,"doi:10.1594/PANGAEA.52307,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
72,31.25,-117.58,2042,-0.2,EW9504_02,unassigned,3.045,2.66,Lowell D. Stott,ew950402-tab.txt,S_site_EW9504_02,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
73,31.67,-118.18,1915,-0.2475,AHF16832,unassigned,4.4025,2.6225,Lowell D. Stott,ahf16832-tab.txt,S_site_AHF16832,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
