latitude,longitude,depth,d13C,Core,d18O
-19.700,8.880,2675.000,0.650,V29_135,2.5400
-18.590,-113.080,3324.000,0.300,SO26_189KA,2.5800
-17.640,-16.210,3427.000,0.870,INMD_115BX,2.6550
-16.020,177.690,3410.000,0.330,SO35_2_272KL,2.5250
-14.390,177.140,2890.000,0.210,SO35_2_211KL,3.6267
-13.080,121.790,1783.000,0.567,MD01_2378,2.3567
-10.540,-109.740,3371.000,0.080,SO12_98,3.2325
-5.780,-10.750,3125.000,0.960,GeoB1112_4,2.5333
-5.750,-11.040,2373.000,0.900,GeoB1113_7,2.8583
-5.750,-11.040,2374.000,0.960,GeoB1113_4,2.8400
-4.240,-103.910,3327.000,0.050,SO12_229,2.7400
-4.000,10.000,1000.000,0.380,BT4,2.5200
-3.810,-83.980,3210.000,-0.010,TR163_31,2.8133
-3.560,-16.430,4671.000,0.440,GeoB1118_3,2.7400
-3.560,-16.430,4675.000,0.214,GeoB1118_2,2.8220
-3.560,-12.580,2921.000,1.040,GeoB1115_4,2.4514
-3.530,-85.000,3381.000,0.160,SO26_131KA,2.6950
-3.480,-7.590,4035.000,0.770,GeoB1041_1,2.5433
-2.200,5.100,3891.000,0.497,GIK16867_1,3.0600
-1.670,-12.430,3231.000,0.990,GeoB1105_3,2.4514
-1.550,-85.390,2463.000,0.100,SO26_127KA,2.9586
-0.970,-9.440,4662.000,0.750,GIK16773_1,2.5962
-0.200,-23.150,3706.000,0.896,V30_40,2.7080
0.680,-85.840,2706.000,0.220,SO26_96KA,2.6860
0.820,-15.510,2764.000,0.885,GIK16771_2,3.0400
1.370,-33.480,3824.000,0.905,V25_59,2.5967
1.660,-10.980,4567.000,0.920,GeoB1101_4,2.6060
2.250,-92.350,2211.000,0.250,SO26_90KA,2.6344
2.600,-83.990,3085.000,0.270,P7,3.1400
2.660,-100.250,4027.000,0.170,SO26_47KA,3.0633
2.730,-95.190,3200.000,0.130,SO26_58KA,2.8029
2.980,-86.550,2870.000,0.010,Y69_106,2.8200
4.340,-43.490,2816.000,1.088,KNR110_82,1.8975
4.340,-43.410,3063.000,0.980,KNR110_75,2.4457
4.360,-43.700,3164.000,1.118,KNR110_71,2.2720
4.560,-43.380,3547.000,0.791,KNR110_66,2.1854
4.760,-43.310,3810.000,0.717,KNR110_91,2.2783
4.790,-43.040,4341.000,0.640,KNR110_58,2.6008
4.950,-42.890,4556.000,0.374,KNR110_55,2.4150
5.390,-21.720,3291.000,1.055,GIK16457_1,2.7375
5.670,-19.850,2862.000,1.070,GIK13519_1,2.8200
7.200,112.080,1953.000,0.041,V35_5,2.3597
