,Site,TimePeriod,d18O,d13C
105,h9_odp806,M2,2.991666666666667,-0.16333333333333333
106,h9_odp806,mPWP-1,2.6312121212121213,0.29454545454545455
107,h9_odp806,KM2,2.716,-0.089
108,h9_odp806,mPWP-2,2.5840000000000005,0.10450000000000001
109,h9_odp806,G20,2.8911111111111114,-0.09000000000000001
110,h9_odp806,G20 - 2800 ka,2.797450980392157,0.08686274509803922
111,h9_odp806,iNHG,2.8146875,0.0403125
112,h10_odp849,3500 ka - M2,3.7774509803921568,-0.07313725490196078
113,h10_odp849,M2,3.9657142857142857,-0.027142857142857142
114,h10_odp849,mPWP-1,3.78525,0.15299999999999997
115,h10_odp849,KM2,4.04875,-0.44625
116,h10_odp849,mPWP-2,3.7835,-0.1095
117,h10_odp849,G20,3.802222222222222,0.13666666666666666
118,h10_odp849,G20 - 2800 ka,4.082916666666667,-0.08541666666666665
119,h10_odp849,iNHG,4.05074074074074,-0.09629629629629631
120,mp1_odp1123,3500 ka - M2,3.3681993322,0.17343842206153845
121,mp1_odp1123,M2,3.879,-0.0364
122,mp1_odp1123,mPWP-1,3.454593023255814,0.2885426356511628
123,mp1_odp1123,KM2,3.904,-0.28900000000000003
124,mp1_odp1123,mPWP-2,3.3072307692307694,0.3835
125,mp1_odp1123,G20,3.4799230769230767,0.17692307692307693
126,mp1_odp1123,G20 - 2800 ka,3.6683,0.1981
127,mp1_odp1123,iNHG,3.6670000000000003,0.321
128,h14_dsdp593,3500 ka - M2,2.0057865745454544,0.8705454545454544
129,h14_dsdp593,M2,2.54523495,0.744
130,h14_dsdp593,mPWP-1,1.9594168239999998,0.8045000000000002
131,h14_dsdp593,KM2,2.2357506,0.772
132,h14_dsdp593,mPWP-2,2.01529735,0.8355
133,h14_dsdp593,G20,2.0990977,0.887
134,h14_dsdp593,G20 - 2800 ka,2.0596170727272725,0.8107272727272729
135,h14_dsdp593,iNHG,2.1830316916666668,1.0014999999999998
136,h13_odp846,3500 ka - M2,3.1935294117647057,-0.3336470588235294
137,h13_odp846,M2,3.7299999999999995,-0.418
138,h13_odp846,mPWP-1,3.184318181818182,0.029772727272727274
139,h13_odp846,KM2,3.5964705882352943,-0.40647058823529414
140,h13_odp846,mPWP-2,3.115714285714286,-0.2657142857142857
141,h13_odp846,G20,3.4430769230769234,-0.37
142,h13_odp846,G20 - 2800 ka,3.3669,-0.2613
143,h13_odp846,iNHG,3.3759574468085116,-0.22999999999999998
144,odp1123,3500 ka - M2,3.3681993322,0.17343842206153845
145,odp1123,M2,3.879,-0.0364
146,odp1123,mPWP-1,3.454593023255814,0.2885426356511628
147,odp1123,KM2,3.904,-0.28900000000000003
148,odp1123,mPWP-2,3.3072307692307694,0.3835
149,odp1123,G20,3.4799230769230767,0.17692307692307693
150,odp1123,G20 - 2800 ka,3.6683,0.1981
151,odp1123,iNHG,3.6670000000000003,0.321
