,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C
0,odp1209,iNHG,,,0,,,0
1,odp1209,mPWP,3.5334177215189873,0.15733262230350012,79,0.0054430379746835435,0.1804182993472955,79
2,odp1209,Mid-Pliocene,3.7649999999999997,0.1537313674346695,4,-0.28500000000000003,0.03696845502136473,4
3,odp1209,Early Pleistocene,,,0,,,0
4,odp1018,iNHG,2.9810526315789474,0.2558405479295889,19,-0.6826315789473685,0.2834674605128261,19
5,odp1018,mPWP,2.69,0.2516611478423583,7,-0.18,0.17039170558842742,7
6,odp1018,Mid-Pliocene,2.6922222222222225,0.2249164764610361,54,-0.34074074074074073,0.2510194448744984,54
7,odp1018,Early Pleistocene,3.0574999999999997,0.17315914907705832,12,-0.63,0.29207720025549905,12
8,odp1148,iNHG,3.1146249999999998,0.35679470711905054,72,-0.22412500000000002,0.23307339939822017,72
9,odp1148,mPWP,3.011,0.5426551759635211,26,-0.34884615384615386,0.5004908544465277,26
10,odp1148,Mid-Pliocene,2.543288888888889,0.4372036462368861,45,-0.2456444444444445,0.37324468915149744,45
11,odp1148,Early Pleistocene,3.307905797101449,0.3746422894917729,138,-0.16430434782608697,0.2543630260711122,138
12,odp1014,iNHG,2.712222222222222,0.2954140220850128,9,-0.31,0.232379000772445,9
13,odp1014,mPWP,1.938,0.11621818561080129,10,-0.191,0.1454074734438823,10
14,odp1014,Mid-Pliocene,1.682,1.0215527397055915,5,-0.22,0.15684387141358122,4
15,odp1014,Early Pleistocene,2.9142105263157894,0.28958429571971844,19,-0.36368421052631583,0.28113283784470977,19
16,odp1125,iNHG,,,0,,,0
17,odp1125,mPWP,2.8230201342281878,0.15933436158300235,149,-0.6484027777777778,0.17899745356802813,144
18,odp1125,Mid-Pliocene,2.7647231270358303,0.1295246647442787,307,-0.5070333333333333,0.17844234678454404,300
19,odp1125,Early Pleistocene,,,0,,,0
20,odp1210,iNHG,,,0,,,0
21,odp1210,mPWP,3.5262641509433967,0.1636103662955419,53,-0.01896153846153846,0.22838039831570842,52
22,odp1210,Mid-Pliocene,3.8986666666666667,0.11460511914104599,3,-0.297,0.15561812233798478,3
23,odp1210,Early Pleistocene,,,0,,,0
24,odp1208,iNHG,3.6630215827338133,0.32940522853569826,278,-0.28339483394833953,0.24081402654459408,271
25,odp1208,mPWP,3.339627906976744,0.22007188961959448,215,-0.0859047619047619,0.24315783457067744,210
26,odp1208,Mid-Pliocene,3.23,0.19914309180710427,139,0.016788321167883216,0.1831783697839885,137
27,odp1208,Early Pleistocene,3.6492156862745095,0.2635930048273606,255,-0.22245901639344262,0.20723462965698974,244
28,odp1239,iNHG,3.5980000000000003,0.2252857834185866,20,-0.48600000000000004,0.18919218855578132,20
29,odp1239,mPWP,3.136078431372549,0.26434187217880734,153,-0.32973856209150326,0.233407109079761,153
30,odp1239,Mid-Pliocene,2.9357575757575756,0.17541556155551488,231,-0.2074025974025974,0.1811202046017045,231
31,odp1239,Early Pleistocene,,,0,,,0
32,dsdp594,iNHG,3.5366666666666666,0.1877682363156924,42,-0.05380952380952381,0.6311196105604024,42
33,dsdp594,mPWP,3.3495454545454546,0.1675236067832712,88,0.07806818181818181,0.4510775297291379,88
34,dsdp594,Mid-Pliocene,3.2171317829457364,0.24377946552176524,129,0.13736434108527132,0.4326418108909583,129
35,dsdp594,Early Pleistocene,,,0,,,0
36,odp1143,iNHG,3.6548297101449276,0.3447782053667483,276,-0.23343115942028983,0.27979559871792764,276
37,odp1143,mPWP,3.20200847457627,0.21982376374508492,118,-0.0020508474576271204,0.38072795427997647,118
38,odp1143,Mid-Pliocene,3.012150234741784,0.23032103510068355,213,-0.1892441314553991,0.23173795082926898,213
39,odp1143,Early Pleistocene,3.7864592592592596,0.3131990484934251,540,-0.16054460966542752,0.20257345004162175,538
40,odp1241,iNHG,3.7575609756097554,0.31033459034478983,82,-0.23548780487804885,0.22079068037578253,82
41,odp1241,mPWP,3.298227777777778,0.2080513544143799,90,-0.19561797752808988,0.19714412734307643,89
42,odp1241,Mid-Pliocene,3.0832340425531912,0.19501196684362834,235,-0.18274678111587983,0.1582534259051437,233
43,odp1241,Early Pleistocene,,,0,,,0
44,dsdp586,iNHG,3.372,0.9527171668443893,5,-0.10333333333333333,0.1501110699893027,3
45,dsdp586,mPWP,3.106666666666667,0.16621271511730573,6,0.030000000000000002,0.11027239001672177,6
46,dsdp586,Mid-Pliocene,3.1185714285714288,0.16237928737075108,14,-0.009999999999999998,0.15105186747162933,13
47,dsdp586,Early Pleistocene,3.778461538461538,0.3378817878550168,13,-0.21,0.14387494569938158,11
48,iodpU1338,iNHG,,,0,,,0
49,iodpU1338,mPWP,3.3219387755102034,0.16857397092513834,49,-0.12248979591836738,0.2771510660909933,49
50,iodpU1338,Mid-Pliocene,3.2250869565217393,0.17079304676167115,23,-0.015478260869565212,0.12960880636649283,23
51,iodpU1338,Early Pleistocene,,,0,,,0
52,odp806,iNHG,2.9542553191489356,0.2786198294809696,94,-0.021170212765957448,0.20006373383950352,94
53,odp806,mPWP,2.678314606741573,0.16037765058431883,89,0.12157303370786517,0.20254011317853524,89
54,odp806,Mid-Pliocene,2.4703879310344834,0.17954084157400915,232,0.08823275862068965,0.1631027009078615,232
55,odp806,Early Pleistocene,2.9185858585858586,0.24978370379641265,198,-0.07984848484848484,0.20649474194145795,198
56,odp849,iNHG,4.221702127659575,0.27426789469411206,94,-0.10553191489361705,0.26379617833029745,94
