latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-78.250000000000000,-37.810000000000002,1104.000000000000000,1.090000000000000,M12,1622-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-78.030000000000001,-39.340000000000003,1164.000000000000000,1.550000000000000,M12,1619-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-78.030000000000001,-37.539999999999999,1094.000000000000000,0.880000000000000,M12,1620-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-77.650000000000006,-44.890000000000001,255.000000000000000,0.980000000000000,M12,1276-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-77.519999999999996,-45.990000000000002,233.000000000000000,1.130000000000000,M12,1275-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT III/3
-77.519999999999996,-35.119999999999997,422.000000000000000,1.220000000000000,M12,1618-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-77.480000000000004,-34.729999999999997,330.000000000000000,1.290000000000000,M12,1402-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-77.239999999999995,-34.539999999999999,475.000000000000000,1.240000000000000,M12,1010-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT I/2
-77.099999999999994,-48.600000000000001,241.000000000000000,1.400000000000000,M12,1214-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT II/4
-77.019999999999996,-34.130000000000003,518.000000000000000,1.140000000000000,M12,1617-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-76.950000000000003,-50.100000000000001,232.000000000000000,1.280000000000000,M12,1396-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-76.879999999999995,-33.380000000000003,441.000000000000000,1.070000000000000,M12,1403-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-76.870000000000005,-50.020000000000003,280.000000000000000,1.020000000000000,M12,1397-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
