Site,TimePeriod,d18O,d13C
h4_odp1209,mPWP-1,3.41062,0.16500
h1_odp1018,mPWP-1,2.50500,-0.35000
h6_odp1148,mPWP-1,2.74043,-0.75457
h3_odp1014,mPWP-1,1.93000,-0.27000
h15_odp1125,mPWP-1,2.77857,-0.60629
h5_odp1210,mPWP-1,3.45156,0.15133
h2_odp1208,mPWP-1,3.24423,0.10058
h12_odp1239,mPWP-1,3.03153,-0.12034
h16_dsdp594,mPWP-1,3.26973,0.17054
h7_odp1143,mPWP-1,3.10822,0.22139
h8_odp1241,mPWP-1,3.15282,-0.08923
h11_dsdp586,mPWP-1,3.10667,-0.01000
iodpU1338,mPWP-1,3.27943,0.06057
h9_odp806,mPWP-1,2.63121,0.29455
h10_odp849,mPWP-1,3.78525,0.15300
mp1_odp1123,mPWP-1,3.45459,0.28854
h14_dsdp593,mPWP-1,1.95942,0.80450
h13_odp846,mPWP-1,3.18432,0.02977
odp1123,mPWP-1,3.45459,0.28854
