latitude,longitude,depth,d13C,dataset,datasetNam,Core,speciesNam,adjdepthme,age_calkaB,d18O,sitename
-51.899999999999999,4.520000000000000,3744.000000000000000,-0.020000000000000,"1",P14,TN057-15,"Cib spp, cib",nan,NaN,nan,NaN
-46.759999999999998,7.580000000000000,2476.000000000000000,0.540000000000000,"1",P14,PS1754-3,"Cib spp, cib",nan,NaN,nan,NaN
-46.509999999999998,-15.330000000000000,3175.000000000000000,0.310000000000000,"1",P14,PS2499-5,"Cib spp, cib",nan,NaN,nan,NaN
-46.100000000000001,-13.230000000000000,2714.000000000000000,0.290000000000000,"1",P14,RC15-93,"Cib spp, cib",nan,NaN,nan,NaN
-43.180000000000000,-3.250000000000000,4171.000000000000000,0.120000000000000,"1",P14,V22-108,"Cib spp, cib",nan,NaN,nan,NaN
-42.979999999999997,-20.859999999999999,3762.000000000000000,-0.180000000000000,"1",P14,RC15-94,"Cib spp, cib",nan,NaN,nan,NaN
-42.909999999999997,8.900000000000000,3702.000000000000000,0.200000000000000,"1",P14,ODP1090_TTN057-6,"Cib spp, cib",nan,NaN,nan,NaN
-42.000000000000000,1.000000000000000,1335.000000000000000,0.580000000000000,"1",P14,TN057-20,"Cib spp, cib",nan,NaN,nan,NaN
-41.600000000000001,9.800000000000001,4718.000000000000000,0.220000000000000,"1",P14,RC11-83,"Cib spp, cib",nan,NaN,nan,NaN
-41.140000000000001,13.560000000000000,2082.000000000000000,0.550000000000000,"1",P14,ODP1088,"Cib spp, cib",nan,NaN,nan,NaN
-41.130000000000003,7.820000000000000,4981.000000000000000,0.270000000000000,"1",P14,TN057-21,"Cib spp, cib",nan,NaN,nan,NaN
-40.939999999999998,9.890000000000001,4621.000000000000000,0.270000000000000,"1",P14,ODP1089,"Cib spp, cib",nan,NaN,nan,NaN
-36.060000000000002,-8.779999999999999,3825.000000000000000,0.680000000000000,"1",P14,GeoB2019-1,"Cib spp, cib",nan,NaN,nan,NaN
-35.130000000000003,17.539999999999999,2840.000000000000000,0.550000000000000,"1",P14,GeoB3603-2,"Cib spp, cib",nan,NaN,nan,NaN
-33.880000000000003,17.629999999999999,280.000000000000000,1.400000000000000,"1",P14,V19-236,"Cib spp, cib",nan,NaN,nan,NaN
-33.469999999999999,-17.030000000000001,898.000000000000000,0.610000000000000,"1",P14,V16-51,"Cib spp, cib",nan,NaN,nan,NaN
-32.270000000000003,-21.969999999999999,4331.000000000000000,0.550000000000000,"1",P14,GeoB3813-3,"Cib spp, cib",nan,NaN,nan,NaN
-31.989999999999998,-36.649999999999999,3739.000000000000000,1.180000000000000,"1",P14,AII60-13A,"Cib spp, cib",nan,NaN,nan,NaN
-31.899999999999999,-1.330000000000000,3385.000000000000000,0.770000000000000,"1",P14,GeoB2016-1,"Cib spp, cib",nan,NaN,nan,NaN
-31.460000000000001,15.310000000000000,1372.000000000000000,0.450000000000000,"1",P14,ODP1087,"Cib spp, cib",nan,NaN,nan,NaN
-30.920000000000002,-36.079999999999998,2941.000000000000000,0.680000000000000,"1",P14,CHN115-88,"Cib spp, cib",nan,NaN,nan,NaN
-30.870000000000001,14.340000000000000,2569.000000000000000,0.790000000000000,"1",P14,GeoB2004-2,"Cib spp, cib",nan,NaN,nan,NaN
-30.829999999999998,-38.430000000000000,3576.000000000000000,0.470000000000000,"1",P14,CHN115-91,"Cib spp, cib",nan,NaN,nan,NaN
-30.809999999999999,-14.710000000000001,3213.000000000000000,1.010000000000000,"1",P14,GeoB3808-6,"Cib spp, cib",nan,NaN,nan,NaN
-30.579999999999998,13.279999999999999,3103.000000000000000,0.660000000000000,"1",P14,V19-240,"Cib spp, cib",nan,NaN,nan,NaN
-29.920000000000002,-35.659999999999997,2340.000000000000000,0.960000000000000,"1",P14,CHN115-70,"Cib spp, cib",nan,NaN,nan,NaN
-29.530000000000001,-43.329999999999998,4003.000000000000000,0.360000000000000,"1",P14,KNR159-54GGC,"Cib spp, cib",nan,NaN,nan,NaN
-29.510000000000002,-8.310000000000000,4546.000000000000000,0.550000000000000,"1",P14,GeoB3801-6,"Cib spp, cib",nan,NaN,nan,NaN
-29.449999999999999,11.750000000000000,3973.000000000000000,0.290000000000000,"1",P14,GeoB1722-1,"Cib spp, cib",nan,NaN,nan,NaN
-29.370000000000001,13.990000000000000,1713.000000000000000,0.870000000000000,"1",P14,ODP1085,"Cib spp, cib",nan,NaN,nan,NaN
-29.170000000000002,13.090000000000000,3044.000000000000000,0.430000000000000,"1",P14,GeoB1721-1,"Cib spp, cib",nan,NaN,nan,NaN
-28.870000000000001,-45.700000000000003,2843.000000000000000,1.300000000000000,"1",P14,KNR159-112GGC,"Cib spp, cib",nan,NaN,nan,NaN
-28.870000000000001,-45.680000000000000,2837.000000000000000,1.000000000000000,"1",P14,KNR159-113JPC,"Cib spp, cib",nan,NaN,nan,NaN
-28.739999999999998,-45.530000000000001,3021.000000000000000,1.200000000000000,"1",P14,KNR159-115GGC,"Cib spp, cib",nan,NaN,nan,NaN
-28.579999999999998,-45.229999999999997,3353.000000000000000,0.840000000000000,"1",P14,KNR159-120GGC,"Cib spp, cib",nan,NaN,nan,NaN
-27.910000000000000,-45.880000000000003,2504.000000000000000,1.230000000000000,"1",P14,GeoB2109-1,"Cib spp, cib",nan,NaN,nan,NaN
-27.890000000000001,-46.039999999999999,1128.000000000000000,1.300000000000000,"1",P14,KNR159-73GGC,"Cib spp, cib",nan,NaN,nan,NaN
