,del_d18O,del_dist,del_depth,identifier
0,0.010000000000000231,216.89339531403027,26.0,"['rc24-17g', 'rc24-20g']"
1,0.05669999999999975,160.1529484677036,460.0,"['GeoB1112_4', 'rc24-20g']"
2,0.2683,181.99509311755935,1212.0,"['GeoB1113_7', 'rc24-20g']"
3,0.25,181.99509311755935,1211.0,"['GeoB1113_4', 'rc24-20g']"
4,0.06669999999999998,102.50491496292639,434.0,"['GeoB1112_4', 'rc24-17g']"
5,0.25829999999999975,122.7865311551434,1186.0,"['GeoB1113_7', 'rc24-17g']"
6,0.23999999999999977,122.7865311551434,1185.0,"['GeoB1113_4', 'rc24-17g']"
7,0.14860000000000007,313.2443002285067,638.0,"['GeoB1115_4', 'rc24-17g']"
8,0.056700000000000195,335.86585343255746,476.0,"['GeoB1041_1', 'rc24-17g']"
9,0.19916666700000007,247.35794340318125,590.0,"['GIK16459_1', 'v30-36']"
10,0.17499999999999982,373.4331802631249,1328.0,"['M12392-1', 'v30-239']"
11,0.3210000000000002,354.6911739490738,99.0,"['BOFS29_1K', 'v30-239']"
12,0.1383000000000001,348.0266012566542,1627.0,"['108_658', 'v30-239']"
13,0.19430000000000014,348.0266012566542,1623.0,"['GeoB7920_2', 'v30-239']"
14,0.09229999999999983,309.3176744592235,1123.0,"['GIK12328_5', 'v30-239']"
15,0.2974999999999999,241.95513938023024,1765.0,"['GIK12379_3', 'v30-239']"
16,0.21999999999999975,100.23713365062486,221.0,"['BOFS26_6K', 'v30-239']"
17,0.49829999999999997,297.1998410198279,999.0,"['BOFS28_3M', 'v30-239']"
18,0.29899999999999993,371.6485311590087,1326.0,"['GIK12392_1', 'v30-239']"
19,1.125,287.58815528774176,3114.0,"['GIK12325_4', 'v30-239']"
20,0.9649999999999999,278.3472591266749,2877.0,"['GIK12326_2', 'v30-239']"
21,0.27,243.18591358042818,1869.0,"['GIK12327_2', 'v30-239']"
22,0.16500000000000004,138.0712545775681,826.0,"['GIK12310_1', 'v30-239']"
23,0.25,396.28568459281,52.0,"['GIK15637_1', 'v30-239']"
24,0.6400000000000001,294.34451538984354,27.0,"['CH74_227', 'v32-08']"
25,0.43999999999999995,258.79805692915915,597.0,"['KF09', 'v32-08']"
26,0.29000000000000004,315.04305089921615,562.0,"['KF13', 'v32-08']"
27,0.46999999999999975,375.57538565483634,202.0,"['KF16', 'v32-08']"
28,0.31000000000000005,257.61741623553223,1093.0,"['MD95-2037', 'v32-08']"
29,0.1200000000000001,364.62417403085146,107.40000000000009,"['MSM58-40-4', 'v32-08']"
30,0.22999999999999998,185.9920111321046,766.3000000000002,"['MSM58-55-1', 'v32-08']"
31,0.27,104.92261251712907,284.5999999999999,"['MSM58-30-4', 'v32-08']"
32,0.16999999999999993,296.73149584759506,371.8000000000002,"['MSM58-34-1', 'v32-08']"
33,0.27,360.65826460184184,427.9000000000001,"['MSM58-23-1', 'v32-08']"
34,0.25,355.60593871943104,649.1999999999998,"['MSM58-20-1', 'v32-08']"
35,0.25,376.4231129130858,1085.1,"['MSM58-24-1', 'v32-08']"
36,0.27,264.47610815179013,1338.0,"['PS1756_6', 'RC13-253']"
37,0.16000000000000014,130.89053291243144,488.0,"['PS2085_1', 'RC13-253']"
38,0.08000000000000007,60.090759151109246,0.0,"['BT-4', 'BT4']"
39,0.4700000000000002,12.547578130348478,160.0,"['GIK16867_1', 'RC13-205']"
40,1.1400000000000001,12.547578130348478,163.0,"['GIK16867_3', 'RC13-205']"
41,0.27,345.700553430755,734.0,"['GeoB1118_3', 'V22-182']"
42,0.35199999999999987,345.700553430755,738.0,"['GeoB1118_2', 'V22-182']"
43,0.5699999999999998,247.65254504311827,1173.0,"['GIK16771_2', 'V22-182']"
44,0.7450000000000001,293.98976313090327,2141.0,"['GeoB9526_4', 'V22-198']"
45,0.6038000000000001,293.98976313090327,2141.0,"['GeoB9526_5', 'V22-198']"
