,del_d18O,del_dist,del_depth,identifier
0,0.56,11.34300206471729,507.0,"['1234A 1H-1', 'RR970245P']"
1,0.6036999999999999,405.45661479101483,1447.0,"['1234A 1H-1', 'GIK17747_2']"
2,0.28329999999999966,405.45661479101483,1448.0,"['1234A 1H-1', 'GIK17747_1']"
3,0.04369999999999985,397.1749641822733,1954.0,"['GIK17747_2', 'RR970245P']"
4,0.2767000000000004,397.1749641822733,1955.0,"['GIK17747_1', 'RR970245P']"
5,0.17999999999999972,264.0409315566173,162.0,"['GeoB3388_1', 'RR9702A-50MC2']"
6,0.16000000000000014,53.50921314207291,1127.0,"['R9702A55T', 'RR9702-61T']"
7,0.22999999999999998,440.80552992068533,1578.0,"['R9702A55T', 'RR9702-63T']"
8,0.13999999999999968,229.29924014048038,2187.0,"['R9702A55T', 'h96-tk1']"
9,0.44999999999999973,65.13413031137551,1143.0,"['R9702A55T', 'h96-tg3']"
10,0.43999999999999995,123.1619875788695,1737.0,"['R9702A55T', 'h96-tg4']"
11,0.06999999999999984,402.5732522540978,451.0,"['RR9702-61T', 'RR9702-63T']"
12,0.2999999999999998,262.212988718053,1060.0,"['RR9702-61T', 'h96-tk1']"
13,0.6099999999999999,104.7175117465744,16.0,"['RR9702-61T', 'h96-tg3']"
14,0.6000000000000001,79.67156319929478,610.0,"['RR9702-61T', 'h96-tg4']"
15,0.6699999999999999,322.92840539525145,159.0,"['RR9702-63T', 'h96-tg4']"
16,0.5899999999999999,137.8670772515959,219.0,"['RR9702-63T', 'h96-tg7']"
17,0.46999999999999975,421.809597812211,280.0,"['GS7202-35', 'SO26_189KA']"
18,0.1499999999999999,458.21593055178556,1701.0,"['RR9702-83MC', 'h96-tg7']"
19,0.11249999999999982,316.77006549212484,232.0,"['GS7202-29', 'SO12_98']"
20,0.5800000000000001,62.50356279238905,146.0,"['GS7202-22', 'SO26_141KA']"
21,0.14000000000000012,410.8424199905181,152.0,"['SO12_229', 'Y71-9-101']"
22,0.14000000000000012,351.51179073178673,140.0,"['GS7202-17', 'RC13-110']"
23,0.1191883090000001,152.53915984672676,788.0,"['1239A 1H-1', 'ME05A-25MC']"
24,0.1459999999999999,172.2924068710201,860.0,"['ME0005A-29MC', 'ME05A-25MC']"
25,0.41999999999999993,172.3536752599324,830.0,"['ME05A-25MC', 'V19-27-TC']"
26,0.040000000000000036,462.837640256978,537.0,"['ME05A-25MC', 'Y69-71P']"
27,0.1739873890000001,411.3392626324032,1.0,"['1238B-1H-1', 'ME05A-25MC']"
28,0.1499999999999999,229.48305448400876,470.0,"['ME05A-25MC', 'V19-29']"
29,0.06000000000000005,180.27900049783773,888.0,"['ME05A-25MC', 'V19-30']"
30,0.14000000000000012,214.75479190074026,517.0,"['ME05A-25MC', 'V19-28']"
31,0.06329999999999991,253.92227038723587,1007.0,"['ME05A-25MC', 'TR163_31']"
32,0.05500000000000016,308.05401381673704,1178.0,"['ME05A-25MC', 'SO26_131KA']"
33,0.20860000000000012,291.1994182590176,260.0,"['ME05A-25MC', 'SO26_127KA']"
34,0.06400000000000006,439.8959126592906,503.0,"['ME05A-25MC', 'SO26_96KA']"
35,0.009999999999999787,218.36370466832145,56.0,"['TTN13-18PC', 'TTN13-72PC']"
36,0.2400000000000002,319.59794872569665,67.0,"['TTN13-18PC', 'W8402A-14GC']"
37,0.040000000000000036,324.9488681645585,294.0,"['GeoB17429-1', 'MD97-2138']"
38,0.1299999999999999,261.7507799829302,17.0,"['GeoB17419-2', 'MD97-2138']"
39,0.18999999999999995,86.24921966451095,317.0,"['GeoB17424-2', 'MD97-2138']"
40,0.026811690999999804,19.8066659537738,72.0,"['1239A 1H-1', 'ME0005A-29MC']"
41,0.3008116909999998,22.142874266862098,42.0,"['1239A 1H-1', 'V19-27-TC']"
42,0.07918830900000007,496.7670140077662,1325.0,"['1239A 1H-1', 'Y69-71P']"
43,0.2931756980000002,291.46606163875174,787.0,"['1238B-1H-1', '1239A 1H-1']"
44,0.030811690999999808,381.94853432845576,1258.0,"['1239A 1H-1', 'V19-29']"
45,0.05918830900000005,331.2930429378491,1676.0,"['1239A 1H-1', 'V19-30']"
46,0.02081169100000002,342.22880307795015,1305.0,"['1239A 1H-1', 'V19-28']"
47,0.18248830900000002,406.4610194132791,1795.0,"['1239A 1H-1', 'TR163_31']"
48,0.06418830899999994,453.33097343433525,1966.0,"['1239A 1H-1', 'SO26_131KA']"
49,0.3277883090000002,381.02944954171767,1048.0,"['1239A 1H-1', 'SO26_127KA']"
50,0.055188309000000046,444.37441918115695,1291.0,"['1239A 1H-1', 'SO26_96KA']"
51,0.5091883090000002,419.43110028895006,1670.0,"['1239A 1H-1', 'P7']"
52,0.274,8.959867749824554,30.0,"['ME0005A-29MC', 'V19-27-TC']"
53,0.319987389,277.1178928686969,859.0,"['1238B-1H-1', 'ME0005A-29MC']"
54,0.0040000000000000036,401.6569745740521,1330.0,"['ME0005A-29MC', 'V19-29']"
55,0.08599999999999985,351.093351875045,1748.0,"['ME0005A-29MC', 'V19-30']"
56,0.005999999999999783,359.5286127891564,1377.0,"['ME0005A-29MC', 'V19-28']"
57,0.20929999999999982,426.20740199545077,1867.0,"['ME0005A-29MC', 'TR163_31']"
58,0.09099999999999975,472.1019988690533,2038.0,"['ME0005A-29MC', 'SO26_131KA']"
59,0.3546,394.4430084575207,1120.0,"['ME0005A-29MC', 'SO26_127KA']"
60,0.08199999999999985,447.25292596719885,1363.0,"['ME0005A-29MC', 'SO26_96KA']"
61,0.536,409.028647099059,1742.0,"['ME0005A-29MC', 'P7']"
62,0.3799999999999999,494.6669347668839,1367.0,"['V19-27-TC', 'Y69-71P']"
63,0.593987389,270.54348497869455,829.0,"['1238B-1H-1', 'V19-27-TC']"
64,0.27,401.33393944116716,1300.0,"['V19-27-TC', 'V19-29']"
65,0.3599999999999999,351.8742078873152,1718.0,"['V19-27-TC', 'V19-30']"
66,0.2799999999999998,355.7630739897476,1347.0,"['V19-27-TC', 'V19-28']"
67,0.48329999999999984,426.0662215360729,1837.0,"['TR163_31', 'V19-27-TC']"
68,0.36499999999999977,469.8078428594668,2008.0,"['SO26_131KA', 'V19-27-TC']"
69,0.6286,388.33619358369276,1090.0,"['SO26_127KA', 'V19-27-TC']"
70,0.35599999999999987,438.50882727783755,1333.0,"['SO26_96KA', 'V19-27-TC']"
71,0.81,401.11336683915755,1712.0,"['P7', 'V19-27-TC']"
72,0.10560000000000036,449.8951537611761,1020.0,"['RC13-110', 'SO26_90KA']"
73,0.06289999999999996,317.0865303242976,31.0,"['RC13-110', 'SO26_58KA']"
74,0.21398738900000014,456.9027460679072,538.0,"['1238B-1H-1', 'Y69-71P']"
75,0.08666666700000025,320.79190620763836,130.0,"['Y69-106P', 'Y69-71P']"
76,0.08499999999999996,346.10299840351195,65.0,"['ME0005A-20MC', 'Y69-71P']"
77,0.10999999999999988,494.2317366933976,67.0,"['V19-29', 'Y69-71P']"
78,0.10000000000000009,338.9222923979766,20.0,"['V19-28', 'Y69-71P']"
79,0.015000000000000124,431.8023612588148,641.0,"['SO26_131KA', 'Y69-71P']"
80,0.24860000000000015,217.2665840689477,277.0,"['SO26_127KA', 'Y69-71P']"
81,0.02400000000000002,97.3504663937289,34.0,"['SO26_96KA', 'Y69-71P']"
82,0.43000000000000016,392.96706137391965,345.0,"['P7', 'Y69-71P']"
83,0.10999999999999988,320.7629594504445,130.0,"['Y69-71P', 'Y69_106']"
84,0.25,105.00479435715681,11.0,"['TTN13-72PC', 'W8402A-14GC']"
85,0.31000000000000005,491.493616069174,1.0,"['PLDS   90Bx', 'TTN13-72PC']"
86,0.36999999999999966,218.6072076940529,251.0,"['849B01H1', 'RC10-65']"
87,0.3299999999999996,360.01368583774206,105.0,"['849B01H1', 'PLDS   74Bx']"
88,0.1599999999999997,167.94610153499013,213.0,"['849B01H1', 'PLDS   72Bx']"
89,0.05999999999999961,381.8717710384611,145.0,"['849B01H1', 'PLDS   70Bx']"
90,0.06000000000000005,432.9844919633267,10.0,"['PLDS   90Bx', 'W8402A-14GC']"
91,0.1273207219999999,437.9575228240869,668.0,"['1238B-1H-1', 'Y69-106P']"
92,0.12898738900000017,438.38294031214895,473.0,"['1238B-1H-1', 'ME0005A-20MC']"
93,0.034612611000000015,476.8638080974373,261.0,"['1238B-1H-1', 'SO26_127KA']"
94,0.23798738900000016,365.0851257221696,504.0,"['1238B-1H-1', 'SO26_96KA']"
95,0.21601261100000002,156.94364849532573,883.0,"['1238B-1H-1', 'P7']"
96,0.10398738900000026,436.89001794091746,668.0,"['1238B-1H-1', 'Y69_106']"
97,0.0016666670000002881,26.596499533616882,195.0,"['ME0005A-20MC', 'Y69-106P']"
98,0.13933333299999973,317.6024180602918,825.0,"['ME05A-14MC', 'Y69-106P']"
99,0.11066666700000027,266.640670742321,164.0,"['SO26_96KA', 'Y69-106P']"
100,0.3433333329999999,288.8265370071623,215.0,"['P7', 'Y69-106P']"
101,0.023333332999999623,1.1116996388192755,0.0,"['Y69-106P', 'Y69_106']"
102,0.14100000000000001,291.96862674189646,630.0,"['ME0005A-20MC', 'ME05A-14MC']"
103,0.10899999999999999,288.9507826158019,31.0,"['ME0005A-20MC', 'SO26_96KA']"
104,0.3450000000000002,286.0097878353488,410.0,"['ME0005A-20MC', 'P7']"
105,0.02499999999999991,26.29279024907438,195.0,"['ME0005A-20MC', 'Y69_106']"
106,0.06000000000000005,489.98838456493155,220.0,"['PLDS   72Bx', 'VNTR01-4PC']"
107,0.24670000000000014,331.7241244674609,617.0,"['GS7202-14', 'SO26_47KA']"
108,0.016000000000000014,305.5995026394933,1042.0,"['ME05A-14MC', 'ME05A-38MC']"
109,0.34099999999999975,384.62331865211456,677.0,"['ME0005A-43JC', 'ME05A-14MC']"
110,0.20400000000000018,451.36015612229414,1040.0,"['ME05A-14MC', 'P7']"
111,0.1160000000000001,317.5616969242933,825.0,"['ME05A-14MC', 'Y69_106']"
112,0.32499999999999973,81.30706034163306,365.0,"['ME0005A-43JC', 'ME05A-38MC']"
113,1.312,316.395650979698,2414.0,"['ET97-7T', 'Y74-2-22']"
114,0.8700000000000001,318.024679372605,2364.0,"['AL98-PC12', 'Y74-2-22']"
115,1.29,318.68057505582766,2429.0,"['LPAZ 21 P', 'Y74-2-22']"
116,0.6100000000000003,153.36397794497594,1832.0,"['RGS87-19 BC', 'Y74-2-22']"
117,0.835,311.0161602279869,2174.0,"['BAP96-2-T', 'Y74-2-22']"
118,1.2000000000000002,199.6536125503439,2359.0,"['CA94-3-I', 'Y74-2-22']"
119,0.9200000000000002,66.10004629565253,2304.0,"['RGS87-21 GC', 'Y74-2-22']"
120,1.2500000000000002,129.6152932918079,2450.0,"['RGS87-16 GC', 'Y74-2-22']"
121,0.5100000000000002,134.9805094944475,1604.0,"['ET97-4T', 'Y74-2-22']"
122,0.6300000000000003,157.1697449635261,1454.0,"['BAP96-10-T', 'Y74-2-22']"
123,0.6099999999999999,147.20048009842603,492.0,"['EW950412P', 'V1-81-G15']"
124,0.7199999999999998,479.54045024251866,1080.0,"['EW9504-13', 'V1-81-G15']"
125,0.25,355.3308167307063,612.0,"['EW9504_02', 'V1-81-G15']"
126,0.2124999999999999,281.78184313714047,485.0,"['AHF16832', 'V1-81-G15']"
127,0.0625,320.0743763493332,131.0,"['EW9504_03', 'V1-81-G15']"
128,0.05799999999999983,224.09290145235468,329.0,"['EW9504_04', 'V1-81-G15']"
129,0.21329999999999982,235.78463607653313,388.0,"['EW9504_05', 'V1-81-G15']"
130,0.49330000000000007,163.96544418923884,12.0,"['EW9504_08', 'V1-81-G15']"
131,0.06000000000000005,68.39126642765135,236.0,"['EW9504_09', 'V1-81-G15']"
132,0.08000000000000007,224.09290145235468,335.0,"['EW9504-04PC', 'V1-81-G15']"
133,0.10999999999999988,333.80712659093143,1572.0,"['EW9504-13', 'EW950412P']"
